name,type,flavors,positive_effects,negative_effects,ailment,search
Chernobyl,hybrid,"Citrus, Lime, Lemon","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches","Chernobyl,Relaxed, Euphoric, Happy, Energetic, Uplifted,Citrus, Lime, Lemon,Depression, Pain, Stress, Lack of Appetite, Headache, Headaches"
Cherries Jubilee,indica,"Berry, Sweet, Tree Fruit","Relaxed, Euphoric, Happy, Creative, Uplifted",Dry Mouth,"Depression, Pain, Stress, Nausea, Fatigue","Cherries Jubilee,Relaxed, Euphoric, Happy, Creative, Uplifted,Berry, Sweet, Tree Fruit,Depression, Pain, Stress, Nausea, Fatigue"
Cherry AK-47,hybrid,"Sweet, Berry, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches","Cherry AK-47,Relaxed, Euphoric, Happy, Energetic, Uplifted,Sweet, Berry, Earthy,Depression, Pain, Stress, Lack of Appetite, Headache, Headaches"
Cherry Bomb,hybrid,"Citrus, Flowery, Violet","Relaxed, Happy, Creative, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache","Cherry Bomb,Relaxed, Happy, Creative, Uplifted, Focused,Citrus, Flowery, Violet,Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
Cherry Cookies,hybrid,"Berry, Sweet, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted",Not Available,"Depression, Pain, Cramps, Lack of Appetite, Nausea","Cherry Cookies,Relaxed, Euphoric, Happy, Energetic, Uplifted,Berry, Sweet, Earthy,Depression, Pain, Cramps, Lack of Appetite, Nausea"
Cherry Cream Pie,hybrid,"Pungent, Sweet, Citrus","Relaxed, Hungry, Euphoric, Happy, Uplifted",Not Available,"Depression, Lack of Appetite","Cherry Cream Pie,Relaxed, Hungry, Euphoric, Happy, Uplifted,Pungent, Sweet, Citrus,Depression, Lack of Appetite"
Cherry Diesel,hybrid,"Berry, Sweet, Diesel","Relaxed, Euphoric, Happy, Uplifted, Focused",Dizzy,"Depression, Insomnia, Pain, Stress, Headaches","Cherry Diesel,Relaxed, Euphoric, Happy, Uplifted, Focused,Berry, Sweet, Diesel,Depression, Insomnia, Pain, Stress, Headaches"
Cherry Durban Poison,hybrid,"Berry, Sweet, Pungent","Euphoric, Happy, Creative, Energetic, Talkative","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Headache, Headaches, Inflammation","Cherry Durban Poison,Euphoric, Happy, Creative, Energetic, Talkative,Berry, Sweet, Pungent,Depression, Pain, Stress, Headache, Headaches, Inflammation"
Cherry Grapefruit,hybrid,"Berry, Butter, Grape","Relaxed, Happy, Creative, Focused",Not Available,"Stress, Cramps, Lack of Appetite","Cherry Grapefruit,Relaxed, Happy, Creative, Focused,Berry, Butter, Grape,Stress, Cramps, Lack of Appetite"
Cherry Kola,indica,"Berry, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite","Cherry Kola,Relaxed, Euphoric, Happy, Uplifted, Focused,Berry, Sweet, Earthy,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Cherry Kush,hybrid,"Berry, Earthy, Pungent","Relaxed, Hungry, Euphoric, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms","Cherry Kush,Relaxed, Hungry, Euphoric, Sleepy,Berry, Earthy, Pungent,Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms"
Cherry Limeade,hybrid,"Berry, Sweet, Citrus","Relaxed, Euphoric, Happy, Creative, Uplifted",Dry Mouth,"Insomnia, Pain, Stress, Lack of Appetite, Inflammation","Cherry Limeade,Relaxed, Euphoric, Happy, Creative, Uplifted,Berry, Sweet, Citrus,Insomnia, Pain, Stress, Lack of Appetite, Inflammation"
Cherry OG,hybrid,"Berry, Earthy, Diesel","Relaxed, Euphoric, Happy, Creative, Uplifted","Dry Mouth, Anxious","Depression, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms","Cherry OG,Relaxed, Euphoric, Happy, Creative, Uplifted,Berry, Earthy, Diesel,Depression, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms"
Cherry Pie,hybrid,"Sweet, Berry, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache","Cherry Pie,Relaxed, Euphoric, Happy, Creative, Uplifted,Sweet, Berry, Earthy,Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
Cherry Pie Kush,hybrid,"Berry, Earthy, Sweet","Euphoric, Happy, Talkative, Uplifted, Sleepy","Dizzy, Paranoid, Anxious","Depression, Pain, Stress, Lack of Appetite, Headaches","Cherry Pie Kush,Euphoric, Happy, Talkative, Uplifted, Sleepy,Berry, Earthy, Sweet,Depression, Pain, Stress, Lack of Appetite, Headaches"
Cherry Sauce,hybrid,"Butter, Flowery, Spicy/Herbal","Euphoric, Happy, Creative, Energetic, Focused","Dry Mouth, Dry Eyes",,"Cherry Sauce,Euphoric, Happy, Creative, Energetic, Focused,Butter, Flowery, Spicy/Herbal,"
Cherry Sherbet,hybrid,"Sweet, Diesel, Pungent","Relaxed, Hungry, Sleepy, Giggly",Dry Mouth,"Depression, Pain, Stress, Cramps, Lack of Appetite","Cherry Sherbet,Relaxed, Hungry, Sleepy, Giggly,Sweet, Diesel, Pungent,Depression, Pain, Stress, Cramps, Lack of Appetite"
Cherry Skunk,hybrid,"Sweet, Berry, Skunk","Relaxed, Euphoric, Creative, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headaches","Cherry Skunk,Relaxed, Euphoric, Creative, Uplifted, Focused,Sweet, Berry, Skunk,Depression, Pain, Stress, Lack of Appetite, Headaches"
Cherry Thunder Fuck,hybrid,"Earthy, Berry, Pungent","Relaxed, Euphoric, Happy, Uplifted, Aroused",Not Available,"Depression, Pain, Stress, Fatigue, Muscle Spasms","Cherry Thunder Fuck,Relaxed, Euphoric, Happy, Uplifted, Aroused,Earthy, Berry, Pungent,Depression, Pain, Stress, Fatigue, Muscle Spasms"
Chiesel,hybrid,"Cheese, Diesel, Pungent","Relaxed, Happy, Creative, Uplifted, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Headache, Fatigue, Headaches","Chiesel,Relaxed, Happy, Creative, Uplifted, Focused,Cheese, Diesel, Pungent,Depression, Pain, Stress, Headache, Fatigue, Headaches"
China Yunnan,indica,"Earthy, Cheese, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Lack of Appetite, Headaches","China Yunnan,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Earthy, Cheese, Sweet,Depression, Insomnia, Stress, Lack of Appetite, Headaches"
Chiquita Banana,hybrid,"Sweet, Orange, Citrus","Relaxed, Euphoric, Happy, Uplifted, Focused","Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Stress, Lack of Appetite, Muscle Spasms","Chiquita Banana,Relaxed, Euphoric, Happy, Uplifted, Focused,Sweet, Orange, Citrus,Depression, Insomnia, Stress, Lack of Appetite, Muscle Spasms"
Chloe,hybrid,"Sweet, Earthy, Spicy/Herbal","Relaxed, Euphoric, Happy, Creative, Uplifted",Dry Eyes,"Depression, Insomnia, Pain, Inflammation, Muscle Spasms","Chloe,Relaxed, Euphoric, Happy, Creative, Uplifted,Sweet, Earthy, Spicy/Herbal,Depression, Insomnia, Pain, Inflammation, Muscle Spasms"
Chocolate Chunk,indica,"Earthy, Sweet, Woody","Relaxed, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Fatigue","Chocolate Chunk,Relaxed, Euphoric, Happy, Sleepy,Earthy, Sweet, Woody,Depression, Insomnia, Pain, Stress, Headache, Fatigue"
Chocolate Diesel,sativa,"Diesel, Nutty, Pine","Euphoric, Happy, Creative, Energetic, Uplifted","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Fatigue","Chocolate Diesel,Euphoric, Happy, Creative, Energetic, Uplifted,Diesel, Nutty, Pine,Depression, Pain, Stress, Nausea, Fatigue"
Chocolate Drop,hybrid,"Earthy, Vanilla","Relaxed, Euphoric, Happy, Uplifted, Giggly",Not Available,"Depression, Stress","Chocolate Drop,Relaxed, Euphoric, Happy, Uplifted, Giggly,Earthy, Vanilla,Depression, Stress"
Chocolate Fondue,sativa,"Cheese, Earthy, Sweet","Euphoric, Happy, Creative, Uplifted, Focused","Dry Mouth, Dry Eyes","Depression, Stress, Lack of Appetite, Nausea, Fatigue","Chocolate Fondue,Euphoric, Happy, Creative, Uplifted, Focused,Cheese, Earthy, Sweet,Depression, Stress, Lack of Appetite, Nausea, Fatigue"
Chocolate Hashberry,hybrid,"Berry, Sweet, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue","Chocolate Hashberry,Relaxed, Euphoric, Happy, Creative, Uplifted,Berry, Sweet, Earthy,Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue"
Chocolate Kush,indica,"Earthy, Coffee, Tea","Relaxed, Euphoric, Happy, Creative, Uplifted","Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Lack of Appetite, Headaches","Chocolate Kush,Relaxed, Euphoric, Happy, Creative, Uplifted,Earthy, Coffee, Tea,Insomnia, Pain, Stress, Lack of Appetite, Headaches"
Chocolate OG,indica,"Sweet, Earthy, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy",Not Available,"Depression, Pain, Stress, Headaches, Inflammation","Chocolate OG,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Sweet, Earthy, Pungent,Depression, Pain, Stress, Headaches, Inflammation"
Chocolate Thai,sativa,"Spicy/Herbal, Earthy, Woody","Relaxed, Happy, Creative, Uplifted, Focused","Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea","Chocolate Thai,Relaxed, Happy, Creative, Uplifted, Focused,Spicy/Herbal, Earthy, Woody,Depression, Insomnia, Pain, Stress, Nausea"
Chocolate Thunder,sativa,"Honey, Nutty, Apricot","Happy, Creative, Energetic, Uplifted, Focused","Dry Mouth, Paranoid","Depression, Stress, Fatigue, Headaches, Inflammation","Chocolate Thunder,Happy, Creative, Energetic, Uplifted, Focused,Honey, Nutty, Apricot,Depression, Stress, Fatigue, Headaches, Inflammation"
Chocolope,sativa,"Coffee, Earthy, Sweet","Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Muscle Spasms","Chocolope,Euphoric, Happy, Creative, Energetic, Uplifted,Coffee, Earthy, Sweet,Depression, Pain, Stress, Fatigue, Muscle Spasms"
Chocolope Kush,hybrid,"Earthy, Pungent, Pine","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms","Chocolope Kush,Relaxed, Euphoric, Happy, Creative, Uplifted,Earthy, Pungent, Pine,Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms"
Chong Star,hybrid,"Earthy, Honey, Flowery","Relaxed, Happy, Creative, Uplifted, Focused",Not Available,"Depression, Pain, Stress, Nausea, Headaches","Chong Star,Relaxed, Happy, Creative, Uplifted, Focused,Earthy, Honey, Flowery,Depression, Pain, Stress, Nausea, Headaches"
Chronic,hybrid,"Skunk, Woody, Pungent","Happy, Energetic, Talkative, Uplifted, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite","Chronic,Happy, Energetic, Talkative, Uplifted, Giggly,Skunk, Woody, Pungent,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Chronic Thunder,indica,"Diesel, Pungent, Earthy","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dry Mouth, Paranoid, Dry Eyes, Anxious","Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms","Chronic Thunder,Relaxed, Hungry, Euphoric, Happy, Sleepy,Diesel, Pungent, Earthy,Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms"
Chucky's Bride,hybrid,"Ammonia, Butter, Cheese","Happy, Creative, Giggly, Aroused",Dry Mouth,"Depression, Insomnia, Pain, Stress","Chucky's Bride,Happy, Creative, Giggly, Aroused,Ammonia, Butter, Cheese,Depression, Insomnia, Pain, Stress"
Chunky Diesel,hybrid,"Diesel, Earthy, Pungent","Relaxed, Euphoric, Happy, Energetic, Uplifted",Not Available,"Depression, Pain, Stress, Fatigue, Inflammation","Chunky Diesel,Relaxed, Euphoric, Happy, Energetic, Uplifted,Diesel, Earthy, Pungent,Depression, Pain, Stress, Fatigue, Inflammation"
Chupacabra,hybrid,"Earthy, Vanilla, Nutty","Relaxed, Happy, Energetic, Uplifted, Focused",Not Available,"Depression, Pain, Stress, Nausea, Headaches","Chupacabra,Relaxed, Happy, Energetic, Uplifted, Focused,Earthy, Vanilla, Nutty,Depression, Pain, Stress, Nausea, Headaches"
Church OG,indica,"Earthy, Woody, Spicy/Herbal","Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Insomnia, Pain, Stress, Fatigue, Spasticity","Church OG,Relaxed, Euphoric, Happy, Uplifted, Focused,Earthy, Woody, Spicy/Herbal,Insomnia, Pain, Stress, Fatigue, Spasticity"
Cinderella 99,hybrid,"Sweet, Citrus, Pungent","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Headaches","Cinderella 99,Relaxed, Euphoric, Happy, Energetic, Uplifted,Sweet, Citrus, Pungent,Depression, Pain, Stress, Fatigue, Headaches"
Cinderella's Dream,hybrid,"Sweet, Berry, Tropical","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Fatigue","Cinderella's Dream,Relaxed, Euphoric, Happy, Energetic, Uplifted,Sweet, Berry, Tropical,Depression, Pain, Stress, Lack of Appetite, Fatigue"
Cindy White,hybrid,"Earthy, Pungent, Berry","Euphoric, Happy, Creative, Energetic, Uplifted",Dry Mouth,"Depression, Insomnia, Pain, Stress, Headache, Fatigue","Cindy White,Euphoric, Happy, Creative, Energetic, Uplifted,Earthy, Pungent, Berry,Depression, Insomnia, Pain, Stress, Headache, Fatigue"
Cinex,sativa,"Citrus, Earthy, Sweet","Euphoric, Happy, Energetic, Uplifted, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Headache, Fatigue, Headaches","Cinex,Euphoric, Happy, Energetic, Uplifted, Focused,Citrus, Earthy, Sweet,Depression, Pain, Stress, Headache, Fatigue, Headaches"
Cirrus,sativa,"Diesel, Menthol, Pungent","Euphoric, Creative, Talkative, Giggly",Dry Mouth,"Depression, Nausea, Fatigue, Headaches, Inflammation","Cirrus,Euphoric, Creative, Talkative, Giggly,Diesel, Menthol, Pungent,Depression, Nausea, Fatigue, Headaches, Inflammation"
Citrix,hybrid,"Citrus, Grapefruit, Orange","Euphoric, Happy, Energetic, Uplifted, Aroused","Dry Mouth, Paranoid, Anxious","Depression, Stress, Lack of Appetite, Nausea, Fatigue","Citrix,Euphoric, Happy, Energetic, Uplifted, Aroused,Citrus, Grapefruit, Orange,Depression, Stress, Lack of Appetite, Nausea, Fatigue"
Citrus Kush,hybrid,"Citrus, Lemon, Sweet","Relaxed, Euphoric, Happy, Uplifted, Tingly","Dry Mouth, Paranoid, Dry Eyes, Anxious","Pain, Stress, Lack of Appetite, Nausea, Headache, Fatigue","Citrus Kush,Relaxed, Euphoric, Happy, Uplifted, Tingly,Citrus, Lemon, Sweet,Pain, Stress, Lack of Appetite, Nausea, Headache, Fatigue"
Citrus Punch,sativa,"Citrus, Orange, Mango","Happy, Energetic, Focused","Dizzy, Dry Mouth, Anxious","Depression, Fatigue","Citrus Punch,Happy, Energetic, Focused,Citrus, Orange, Mango,Depression, Fatigue"
Citrus Sap,hybrid,"Citrus, Orange, Pungent","Relaxed, Euphoric, Happy, Uplifted, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Headache, Headaches, Inflammation","Citrus Sap,Relaxed, Euphoric, Happy, Uplifted, Focused,Citrus, Orange, Pungent,Depression, Pain, Stress, Headache, Headaches, Inflammation"
Citrus Sunshine Haze,hybrid,"Citrus, Orange, Lemon","Happy, Creative, Energetic, Uplifted, Focused",Dry Mouth,"Depression, Pain, Stress, Fatigue, Headaches","Citrus Sunshine Haze,Happy, Creative, Energetic, Uplifted, Focused,Citrus, Orange, Lemon,Depression, Pain, Stress, Fatigue, Headaches"
Clementine,sativa,"Citrus, Orange, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches","Clementine,Relaxed, Euphoric, Happy, Energetic, Uplifted,Citrus, Orange, Sweet,Depression, Pain, Stress, Lack of Appetite, Headache, Headaches"
Clementine Kush,hybrid,"Citrus, Earthy, Flowery","Relaxed, Euphoric, Happy, Tingly, Giggly","Dizzy, Paranoid, Anxious","Depression, Insomnia, Stress, Lack of Appetite, Inflammation","Clementine Kush,Relaxed, Euphoric, Happy, Tingly, Giggly,Citrus, Earthy, Flowery,Depression, Insomnia, Stress, Lack of Appetite, Inflammation"
Clockwork Orange,hybrid,"Citrus, Lemon, Orange","Relaxed, Hungry, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite","Clockwork Orange,Relaxed, Hungry, Uplifted,Citrus, Lemon, Orange,Depression, Pain, Stress, Lack of Appetite"
Cloud 9,hybrid,"Flowery, Pine, Rose","Relaxed, Happy, Energetic, Talkative, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea, Headache","Cloud 9,Relaxed, Happy, Energetic, Talkative, Giggly,Flowery, Pine, Rose,Depression, Insomnia, Pain, Stress, Nausea, Headache"
Club 69,indica,"Diesel, Earthy, Flowery","Relaxed, Sleepy",Not Available,"Pain, Stress","Club 69,Relaxed, Sleepy,Diesel, Earthy, Flowery,Pain, Stress"
Cluster Bomb,hybrid,Sweet,"Relaxed, Euphoric, Energetic, Focused",Dizzy,"Stress, Headaches","Cluster Bomb,Relaxed, Euphoric, Energetic, Focused,Sweet,Stress, Headaches"
Cold Creek Kush,hybrid,"Earthy, Woody, Pine","Relaxed, Euphoric, Happy, Uplifted, Tingly","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms","Cold Creek Kush,Relaxed, Euphoric, Happy, Uplifted, Tingly,Earthy, Woody, Pine,Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms"
Colombian Gold,sativa,"Earthy, Pungent, Citrus","Euphoric, Happy, Energetic, Talkative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue","Colombian Gold,Euphoric, Happy, Energetic, Talkative, Uplifted,Earthy, Pungent, Citrus,Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue"
Colombian Mojito,sativa,"Citrus, Lime, Minty","Euphoric, Creative, Energetic, Aroused",Anxious,"Pain, Nausea, Headaches","Colombian Mojito,Euphoric, Creative, Energetic, Aroused,Citrus, Lime, Minty,Pain, Nausea, Headaches"
Colorado Bubba,indica,"Mango, Pineapple, Nutty","Relaxed, Happy, Uplifted, Sleepy",Dry Mouth,"Depression, Pain, Stress, Lack of Appetite, Muscle Spasms","Colorado Bubba,Relaxed, Happy, Uplifted, Sleepy,Mango, Pineapple, Nutty,Depression, Pain, Stress, Lack of Appetite, Muscle Spasms"
Colorado Chem,hybrid,"Skunk, Sweet, Citrus","Relaxed, Euphoric, Happy, Energetic, Giggly",Dry Mouth,"Depression, Insomnia, Pain, Stress, Headaches","Colorado Chem,Relaxed, Euphoric, Happy, Energetic, Giggly,Skunk, Sweet, Citrus,Depression, Insomnia, Pain, Stress, Headaches"
Colorado Clementines,indica,"Citrus, Lemon, Orange","Relaxed, Hungry, Euphoric, Creative, Sleepy",Not Available,"Depression, Insomnia, Pain, Stress, Lack of Appetite","Colorado Clementines,Relaxed, Hungry, Euphoric, Creative, Sleepy,Citrus, Lemon, Orange,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Commerce City Kush,indica,"Diesel, Earthy, Pungent","Relaxed, Hungry, Euphoric, Happy, Creative",Not Available,"Insomnia, Pain, Stress, Lack of Appetite, Headaches","Commerce City Kush,Relaxed, Hungry, Euphoric, Happy, Creative,Diesel, Earthy, Pungent,Insomnia, Pain, Stress, Lack of Appetite, Headaches"
Concord Grape Blockhead,hybrid,"Grape, Sweet","Euphoric, Creative, Giggly","Dry Mouth, Dry Eyes","Depression, Insomnia, Cramps, Lack of Appetite, Muscle Spasms","Concord Grape Blockhead,Euphoric, Creative, Giggly,Grape, Sweet,Depression, Insomnia, Cramps, Lack of Appetite, Muscle Spasms"
Confidential Cheese,indica,"Cheese, Pine, Nutty","Relaxed, Hungry, Happy, Creative, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headaches","Confidential Cheese,Relaxed, Hungry, Happy, Creative, Sleepy,Cheese, Pine, Nutty,Depression, Insomnia, Pain, Stress, Headaches"
Connie Chung,hybrid,"Earthy, Pine, Sweet","Relaxed, Euphoric, Happy, Sleepy, Focused","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite","Connie Chung,Relaxed, Euphoric, Happy, Sleepy, Focused,Earthy, Pine, Sweet,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Conspiracy Kush,indica,"Sweet, Earthy, Pungent","Relaxed, Euphoric, Happy, Creative","Dizzy, Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Headaches, Inflammation","Conspiracy Kush,Relaxed, Euphoric, Happy, Creative,Sweet, Earthy, Pungent,Insomnia, Pain, Stress, Headaches, Inflammation"
Cookie Breath,hybrid,"Earthy, Sweet, Minty","Relaxed, Euphoric, Happy, Uplifted, Giggly",Not Available,"Depression, Pain, Stress, Fatigue, Inflammation","Cookie Breath,Relaxed, Euphoric, Happy, Uplifted, Giggly,Earthy, Sweet, Minty,Depression, Pain, Stress, Fatigue, Inflammation"
Cookie Dough,hybrid,"Earthy, Sweet, Pungent","Relaxed, Happy, Uplifted, Focused",Dry Eyes,"Depression, Pain, Stress, Lack of Appetite, Headaches","Cookie Dough,Relaxed, Happy, Uplifted, Focused,Earthy, Sweet, Pungent,Depression, Pain, Stress, Lack of Appetite, Headaches"
Cookie Jar,hybrid,"Pungent, Earthy, Flowery","Relaxed, Hungry, Euphoric, Uplifted, Sleepy",Not Available,"Depression, Pain, Stress, Lack of Appetite, Headaches","Cookie Jar,Relaxed, Hungry, Euphoric, Uplifted, Sleepy,Pungent, Earthy, Flowery,Depression, Pain, Stress, Lack of Appetite, Headaches"
Cookie Monster,indica,"Flowery, Sweet, Earthy","Relaxed, Euphoric, Happy, Creative, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Insomnia, Pain, Stress, Headache, Eye Pressure, Spasticity","Cookie Monster,Relaxed, Euphoric, Happy, Creative, Sleepy,Flowery, Sweet, Earthy,Insomnia, Pain, Stress, Headache, Eye Pressure, Spasticity"
Cookie Wreck,hybrid,"Sweet, Earthy, Woody","Relaxed, Euphoric, Happy, Creative, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Headache, Muscle Spasms","Cookie Wreck,Relaxed, Euphoric, Happy, Creative, Focused,Sweet, Earthy, Woody,Depression, Pain, Stress, Nausea, Headache, Muscle Spasms"
Cookies Kush,indica,"Sweet, Pungent, Earthy","Relaxed, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache","Cookies Kush,Relaxed, Euphoric, Happy, Sleepy,Sweet, Pungent, Earthy,Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
Cookies and Cream,hybrid,"Sweet, Vanilla, Nutty","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Nausea","Cookies and Cream,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Sweet, Vanilla, Nutty,Depression, Insomnia, Pain, Stress, Nausea"
Cookies and Dream,hybrid,"Sweet, Tree Fruit, Blueberry","Relaxed, Euphoric, Happy, Energetic, Uplifted",Not Available,"Pain, Stress, Lack of Appetite, Fatigue, Headaches","Cookies and Dream,Relaxed, Euphoric, Happy, Energetic, Uplifted,Sweet, Tree Fruit, Blueberry,Pain, Stress, Lack of Appetite, Fatigue, Headaches"
Copper Kush,indica,"Earthy, Pine, Pungent","Relaxed, Euphoric, Happy, Uplifted, Focused",Dizzy,"Depression, Pain, Stress, Cramps, Headaches","Copper Kush,Relaxed, Euphoric, Happy, Uplifted, Focused,Earthy, Pine, Pungent,Depression, Pain, Stress, Cramps, Headaches"
Corleone Kush,indica,"Skunk, Earthy, Spicy/Herbal","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Headache, Spasticity, Muscle Spasms","Corleone Kush,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Skunk, Earthy, Spicy/Herbal,Depression, Pain, Stress, Headache, Spasticity, Muscle Spasms"
Cornbread,indica,"Lemon, Citrus, Earthy","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite","Cornbread,Relaxed, Hungry, Euphoric, Happy, Sleepy,Lemon, Citrus, Earthy,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Cosmic Collision,sativa,"Sweet, Earthy, Minty","Euphoric, Happy, Energetic, Talkative, Uplifted",Not Available,,"Cosmic Collision,Euphoric, Happy, Energetic, Talkative, Uplifted,Sweet, Earthy, Minty,"
Cotton Candy Kush,hybrid,"Sweet, Flowery, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Fatigue","Cotton Candy Kush,Relaxed, Euphoric, Happy, Creative, Uplifted,Sweet, Flowery, Berry,Depression, Pain, Stress, Lack of Appetite, Fatigue"
Cotton Purple Chem,hybrid,"Sweet, Earthy, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted",Not Available,"Depression, Stress, Fatigue, Headaches, Muscle Spasms","Cotton Purple Chem,Relaxed, Euphoric, Happy, Creative, Uplifted,Sweet, Earthy, Berry,Depression, Stress, Fatigue, Headaches, Muscle Spasms"
